Case Numbers,Total Records by Case,Project Name,Net Units,Block Lot,Min Filed,Max Action,Allowed Height,Plan Area,Case Decision Date,Case Decision,Q4 Report Status,Last Planning Suffix,Last Planning Action,Days,EP Complete,EP Interim,EP Open,Cat Ex 32,CPE,Neg Dec,EIR,E,C,V,X,D,A,R,Total,Diff,Multiple,Cancelled Planning,Cancelled BP,In Current Planning,BP Reinstated,BP Issued,Occupancy Permit,Planning Approved,Case # in Q4 Report,Blocklot in Q4 Report,In Q4 Report,Possibly Missing Data,Final Status,Case Year,Filing Year,Action Year,Should Be,Reason,Project Size Class
2000.0040,1,5 masonic av/2715 geary blv,57,#N/A,1/5/2000,4/19/2007,#N/A,#N/A,,Cancelled,0,E,Cancelled,2661,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2000,2000,2007,,,Large
2000.1040,2,121 liberty st,1,#N/A,2/3/2000,8/11/2011,#N/A,#N/A,,,0,E,Cancelled,4207,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Cancelled,2000,2000,2011,,,Small
2000.1215,2,48 tehama st,63,#N/A,11/20/2000,8/10/2011,#N/A,#N/A,9/13/2001,Approved,BP Filed,E,Cancelled,3915,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,Cancelled,2000,2000,2011,Cancelled,,Large
2000.6130,4,427 battery st,23,#N/A,11/1/2000,1/1/2011,#N/A,#N/A,4/26/2001,Approved,0,V,Approved,3713,1,0,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2000,2000,2011,,,Medium
2000.6180,3,801 brannan/1 henry adams street,781,#N/A,6/19/2000,1/31/2013,#N/A,#N/A,8/5/2009,Approved,0,E,Approved,4609,2,0,0,0,0,0,2,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2000,2000,2013,,,Large
2001.0249,4,605 kearny st,1,#N/A,3/14/2001,2/12/2007,#N/A,#N/A,2/12/2007,Approved,CONSTRUCTION,V,Approved,2161,1,0,0,0,0,1,0,1,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,1,0,Approved,2001,2001,2007,,,Small
2008.1328,1,1 franklin st,35,0837003,12/1/2008,7/16/2009,85,1,3/16/2009,CEQA,BP Filed,E,EP Complete,227,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,Approved,2008,2008,2009,,,Medium
2002.0133,5,545 sansome st,305,0207033,2/6/2002,4/20/2010,200,0,5/25/2006,,0,E,EP Complete,2995,1,0,0,0,0,0,1,1,1,1,1,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,Cancelled,2002,2002,2010,,,Large
2002.0333,2,270 valencia st,28,3533009,4/2/2002,5/15/2003,50,1,5/15/2003,Approved,0,C,Approved,408,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Approved,2002,2002,2003,,,Medium
2010.0102,1,1 franklin st,40,0837003,2/19/2010,4/6/2010,85,1,4/6/2010,Approved,BP Filed,V,Approved,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,Approved,2010,2010,2010,,,Medium
