"","Case.Numbers","Total.Records.by.Case","Project.Name","Net.Units","Block.Lot","Min.Filed","Max.Action","Allowed.Height","Plan.Area","Case.Decision.Date","Case.Decision","Q4.Report.Status","Last.Planning.Suffix","Last.Planning.Action","Days","ER.Complete","ER.Interim","ER.Open","C","V","X","D","BP","R","Total","Diff","Multiple","Cancelled.Planning","Cancelled.BP","In.Current.Planning","BP.Reinstated","BP.Issued","Occupancy.Permit","Planning.Approved","Case...in.Q4.Report","Blocklot.in.Q4.Report","In.Q4.Report","Missing.Data","Case.Year","Filing.Year","Action.Year","Notes","More","Manual.Exclusion","QC.Check.Against.Quarterly","Possible.False.Negative","Reason","Should.Be","Possible.False.Positive","Overriden.Date","unitgrp","hgrp1","hgrp2","M","ydiff","unitgrp2"
"37",2013.1355,2,"3305 broderick st",1,"926008","9/22/13 0:00","12/24/13 0:00",40,"FALSE","","","PL Filed","E","ER Complete",93,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,0,1,2,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"38",2013.0284,2,"13 lucky street (1106 treat ave)",1,"6521052","3/14/13 0:00","12/23/13 0:00",9999,"TRUE","12/23/13","Approved","0","V","Approved",284,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,2013,2013,"","",NA,1,NA,"","",NA,NA,"1","2","3","FALSE",0,"0"
"40",2013.0256,4,"41 tehama st",398,"3736074","3/8/13 0:00","12/19/13 0:00",200,"TRUE","11/14/13","Approved","PL Approved","V","Approved",286,1,0,0,"FALSE","TRUE","TRUE","FALSE",1,"FALSE",4,0,1,0,0,0,0,0,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"3","2","3","TRUE",0,"1"
"42",2012.0132,1,"471 24th avenue",2,"1456013","2/10/12 0:00","12/10/13 0:00",40,"FALSE","","","BP REINSTATED","E","ER Complete",669,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"43",2013.1262,2,"412 hearst av",1,"3116007","8/29/13 0:00","12/5/13 0:00",40,"FALSE","","","BP Filed","E","ER Complete",98,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,0,1,0,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"45",2013.0826,3,"363 21st av",2,"1453013","6/19/13 0:00","11/26/13 0:00",40,"FALSE","","Approved","BP Filed","E","ER Complete",160,1,0,0,"FALSE","FALSE","FALSE","FALSE",2,"FALSE",3,0,0,0,0,0,0,0,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"46",2013.052,1,"910 carolina st",1,"4160003","4/25/13 0:00","11/20/13 0:00",40,"TRUE","","","PL Filed","E","ER Complete",209,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"47",2013.089,3,"1601 larkin st",27,"620006","7/3/13 0:00","11/15/13 0:00",65,"FALSE","11/15/13","Approved","PL Approved","V","Approved",135,0,0,0,"TRUE","TRUE","FALSE","FALSE",1,"FALSE",3,0,2,0,0,0,0,1,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"2","2","1","TRUE",0,"1"
"48",2012.1454,1,"5739 mission st",5,"6473039","7/12/13 0:00","11/13/13 0:00",40,"FALSE","4/9/13","Approved","PL Approved","E","ER Complete",124,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,1,2012,2013,2013,"","",NA,0,NA,"","",NA,1,"1","1","1","FALSE",0,"0"
"49",2013.0486,1,"750 27th street",1,"6583010","4/19/13 0:00","11/7/13 0:00",40,"FALSE","11/7/13","Approved","BP Filed","C","Approved",202,0,0,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
